 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
Galanthamine,Anti-Alzheimer's,"Glycerophospholipid metabolism, Cholinergic synapse",AChE,acetylcholinesterase inhibitor,,,7.21,pKi,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,287.359,1.8503,4,1,1,41.93,3,1.53,,,,-0.14,,,,,0.2532,9.86,,,,,,,0,-0.4491893593,0,0,Inactive,0,-14.87576942,0,0,Inactive,Inactive,0,-70.42828382,0,0,Inactive,0,7.461606537,0,0,Inactive,Inactive,0,3.274323879,,,,,,0,-23.67345502,,,,,,,0.5097111789,Oral,"Following 10 hours of administration, the mean galantamine plasma concentrations were 82–97 µg/L for the 24 mg/day dose and 114–126 µg/L for the 32 mg/day dose",18%,2.30 L/kg,5.60 mL/min/kg,5.30 hours,99 %,NA,NA,Category B1,Not recommended,NA,,
Levetiracetam,Anticonvulsant,ECM-receptor interaction,"CACNA1B, SCN1A, SV2A",calcium channel blocker,,,6.1,pKi,CC[C@@H](C(N)=O)N1CCCC1=O,170.212,-0.1273,2,1,3,63.4,1,13.42,,,,-0.02,,,,0.008913,0.04659,4.118,,,,,,,0,-9.578996805,,,,0,2.194939496,,,,,,,,,,,,,,,,0,-1.14500812,,,,,,0,-15.83665762,,,,,,,0.6228891475,Oral,,<10%,0.60 L/kg,0.90 mL/min/kg,8.23 hours,99 %,None,Hypersensitivity,Category B3,Not recommended,NA,,
Voriconazole,Antifungal,Steroid biosynthesis,"CYP2C19, CYP2C9, CYP3A4, CYP3A5, PTGS1",cytochrome P450 inhibitor,,,8.73,pMIC,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,349.316,2.1769,6,1,5,76.72,2,-2.98,,,,-0.12,,,,0.00006668,0.166,9.578,,,,,,,0,-20.64709217,0,0,Inactive,0,-0.2529003423,0,0,Inactive,Inactive,0,-256.5160727,0,0,Inactive,0,-18.0515209,0,0,Inactive,Inactive,0,2.33931092,,,,,,0,-26.85638803,,,,,,,0.6880609937,Oral,Tmax is 1-2 hours with oral administration. When administered with a high-fat meal Cmax decreases by 34% and AUC by 24%. ,58%,2.20 L/kg,8.30 mL/min/kg,5.60 hours,96 %,Alfuzosin; carbamazepine; chloroquine; cobimetinib; conivaptan; dihydroergotamine; dihydroergotamine intranasal; efavirenz; eliglustat; ergoloid mesylates; ergonovine; ergotamine; finerenone; flibanserin; isavuconazonium sulfate; ivabradine; lefamulin; lomitapide; lonafarnib; lovastatin; lurasidone; methylergonovine; mirtazapine; naloxegol; phenobarbital; pimozide; quinidine; regorafenib; rifabutin; rifampin; ritonavir;sirolimus; St John's Wort; venetoclax; voclosporin,"HypersensitivitY; Patients with galactose intolerance, Lapp lactase deficiency, or glucose-galactose malabsorption",Category B3,Not recommended,NA,,
Isosorbide mononitrate,Vasodilator (coronary),NA,"GUCY1A2, GUCY1A3, GUCY1B2, GUCY1B3",nitric oxide stimulant,,,,,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,191.139,-1.2782,6,1,2,91.06,4,-2.1,,,,-0.08,,,,0.4835,0.1018,17.33,,,,,,,0,-22.62457539,0,0,Inactive,0,1.126061146,0,0,Inactive,Inactive,0,-41.32001598,0,0,Inactive,0,-10.17061455,0,0,Inactive,Inactive,0,-3.59293739,,,,,,0,-21.11222957,,,,,,,0.5861945341,Oral,,5%,0.70 L/kg,2 mL/min/kg,4.10 hours,93 %,Avanafil; riociguat; sildenafil; tadalafil; vardenafil,Hypersensitivityl PDE-5 inhibitors,Category B2,Not recommended,NA,,
Deflazacort,Anti-inflammatory,Neuroactive ligand-receptor interaction,NR3C1,glucocorticoid receptor agonist,,,,,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,441.524,2.5632,7,1,3,102.26,8,,,,,,,,,0.4333,0.3895,,,,,,,,0,3.004065231,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,3.886839808,0,0,Inactive,Inactive,0,-1.808185056,,,,,,0,-3.118318657,,,,,,,0.1539340243,Oral,One pharmacokinetic study determined an AUC (area under the curve) of 280 ng/ml · h,"The protein binding of the active metabolite of deflazacort is approximately 40%.[FDA label,A18759]",One study determined the volume of distribution to be 204 ± 84 L.[A18725],"114 ±27 L/h, according to one noncompartmental pharmacokinetic study.[A18725]
 
 The clearance of corticosteroids is enhanced in hypothyroid patients and increased in patients with hyperthyroidism. Dosing adjustments may be considered according to thyroid status.[FDA label] A study of corticosteroid clearance was performed in patients with a creatinine clearance of 15 mL/min or less, and determined that the active metabolite of deflazacort, 21-deflazacort was similar to that in patients with normal renal clearance.[FDA label]","The half-life of deflazacort ranges from 1.1 to 1.9 h [A18725,L6703]",68 %,mifepristone,Hypersensitivity ,NA,Not recommended ,None,,
Orlistat,Antiobesity,"Glycerolipid metabolism, Pancreatic secretion, Fat digestion and absorption","CNR1, DAGLA, DAGLB, FASN, LIPF, PNLIP",lipase inhibitor,,0.04,10.39,pIC50,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,495.745,6.8819,5,1,23,81.7,4,-3.03,,,,0.77,,,,,0.2509,37.35,,,,,,,0,0,0,0,Inactive,0,15.35785028,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.720739702,0,0,Inactive,Inactive,0,6.83501373,,,,,,12.58925412,-75.74974603,,,,,,,0.3476386206,Oral,,>99% bound to plasma proteins (lipoproteins and albumin were major binding proteins).,,,1 to 2 hours.,1 %,None,"Pregnancy
Chronic malabsorption syndrome
Cholestasis
Hypersensitivity",Category B1,Not recommended ,None,,
Moxidectin,Antiparasitic,NA,,chloride channel antagonist,,,,,CO/N=C1\C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,639.83,5.7289,9,2,3,116.04,10,,,,,,,,,,0.3085,,,,,,,,10,-32.90467245,17.7828,66.6212,Inconclusive,0,-56.35418478,0,0,Inactive,Inactive,0,-86.46158184,0,0,Inactive,0,1.261892705,0,0,Inactive,Inactive,0,24.75448351,,,,,,3.548133892,-57.39317203,,,,,,,0.06419257773,Oral,plasma maximal concentration of 70.4 mg/kg was reached after 0.37 day with a reported AUC of 363.6 mcg/day/ml,This pharmacokinetic property in humans is unknown.[FDA label],Moxidectin presents a larger volume of distribution and mean residence time when compared to ivermectin. The reported volume of distribution is of 1.2 l/kg.[A33398],The apparent clearance of moxidectin is 3.5 L/hour.[A33428],Moxidectin reporter terminal half-life is 20.2 days.[A33398],,NA,None,NA,Use with caution ,NA,,
HYDROXYZINE PAMOATE,Anxiolytic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,antihistamine,,,,,OCCOCCN1CCN(CC1)C(c1ccccc1)c1ccc(Cl)cc1.OC(=O)c1cc2ccccc2c(Cc2c(O)c(cc3ccccc23)C(=O)O)c1O,763.287,7.4473,8,5,12,151,1,-2.82,,,,-0.13,,,,,,29.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7899524556,Oral,Maximum plasma concentration (Tmax) approximately 2 hours following administration.,,16.0 ± 3.0 L/kg,Clearance of hydroxyzine has been reported to be 31.1 ± 11.1 mL/min/kg in children and 9.8 ± 3.3 mL/min/kg in adults,"The half-life of hydroxyzine is reportedly 14-25 hours, and appears to be, on average, shorter in children (~7.1 hours) than in adults (~20 hours). Elimination half-life is prolonged in the elderly, averaging approximately 29 hours, and is likely to be similarly prolonged in patients with renal or hepatic impairment",,NA,Hypersensitivity; Prolonged QT interval,Category A,Use with caution,NA,,
Diazoxide,Antihypoglycemia,Insulin secretion,"ATP1A1, CA1, CA2, KCNJ11, KCNJ8, KCNMA1, SLC12A3",potassium channel activator,,194000,3.71,pIC50,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,230.676,1.8726,3,1,0,58.53,0,,,,,0,,,,0.02926,0.1379,11.11,,,,,,,0,-17.4302112,0,0,Inactive,0,0.1200289329,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-8.072316494,0,0,Inactive,Inactive,0,-2.097695373,,,,,,0,-8.958761539,,,,,,,0.5970386326,Oral,,>90%,0.21 L/kg,0.06 mL/min/kg,48 hours,90 %,NA,NA,Category C,Not recommended,NA,,
Cefaclor,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,,,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,367.814,0.6213,5,3,4,112.73,3,34.21,,,,0.11,,,,0.6065,0.3978,74.81,,,,,,,0,-61.65771631,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.111376517,0,0,Inactive,Inactive,0,12.47723604,,,,,,0,-9.329917606,,,,,,,0.1863393358,Oral,,23.50%,,,0.6-0.9 hour,90 %,None,Hypersensitivity,Category B1,Use with caution,None,,
Methazolamide,Antiglaucoma,Proximal tubule bicarbonate reclamation,"CA1, CA12, CA14, CA2, CA4, CA7",carbonic anhydrase inhibitor,,14,7.85,pIC50,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,236.278,-1.4238,6,1,1,107.41,0,-0.52,,,,0.21,,,,0.3518,,-19.29,,,,,,,0,-8.083392963,0,0,Inactive,0,-3.382568287,0,0,Inactive,Inactive,0,-39.94196852,0,0,Inactive,0,-20.16486471,0,0,Inactive,Inactive,0,2.272045862,,,,,,0,-19.55469442,,,,,,,0.4237128241,Oral,,55%,* 17 to 23 L,,14 hours,,None,"Hypokalemia, hyponatremia, hyperchloremic acidosis, cirrhosis, severe liver or renal impairment, adrenal gland failure",NA,Not recommended,None,,
Natamycin,"Antifungal, Antibacterial",NA,,fungal ergosterol inhibitor,,,,,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,665.733,0.1197,13,7,3,230.99,14,3.99,,,,-0.01,,,,,,8.099,,,,,,,0,-123.8862319,0,0,Inactive,0,-6.075239446,0,0,Inactive,Inactive,0,-62.80907352,0,0,Inactive,0,0.8853136564,0,0,Inactive,Inactive,0,6.409062441,,,,,,0,-28.42120246,,,,,,,0.5136397951,Topical; oral,,,,,,,NA,Hypersensitivity,Category C,No sufficient information is available,NA,,
Aztreonam,Antibacterial,Peptidoglycan biosynthesis,,bacterial cell wall synthesis inhibitor,,,5.74,pIC50,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.44,-1.1725,10,4,7,201.58,2,1.89,,,,-0.06,,,,0.1281,0.135,7.203,,,,,,,0,-17.82056617,0,0,Inactive,0,3.745151877,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.0655695203,0,0,Inactive,Inactive,0,2.365865255,,,,,,0,-21.80105294,,,,,,,0.5697772453,Oral; intramuscular,,"Serum protein binding averaged 56% and is independent of dose. Impaired renal function, 36 to 43%.",0.18 L/kg,1.50 mL/min/kg,1.50 hours,1 %,None,Hypersensitivity,Category B1,Use with caution,None,,
Nizatidine,Anti-ulcerative,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion",HRH2,histamine receptor antagonist,,,6.92,pKd,CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,331.467,1.3225,8,2,10,83.33,0,-3.09,,,,0.04,,,,,,14.96,,,,,,,0,-59.26556635,0,0,Inactive,0,0.5872336092,0,0,Inactive,Inactive,0,-35.70183056,0,0,Inactive,0,2.352303281,0,0,Inactive,Inactive,0,-3.407845034,,,,,,0,-20.24463109,,,,,,,0.6209812273,Oral,,35%,1 L/kg,9.80 mL/min/kg,1.50 hours,70 %,None,"Hypersensitivity
Addison disease",Category B3,Not recommended,None,,
Mebendazole,Anthelmintic,NA,"TUBA1A, TUBB, TUBB4B",tubulin polymerization inhibitor,,,,,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,295.298,2.9722,4,2,3,84.08,0,13.81,,,,0.67,,,,0.1013,0.2334,31.63,,,,,,,1.412537545,-289.1873085,6.3096,35.2826,Inconclusive,11.22018454,-25.78230826,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-11.8704389,0,0,Inactive,Inactive,0,-14.3223736,,,,,,0.6309573445,-102.4539625,,,,,,,0.2932544245,Oral,,90-95%,1.20 L/kg,15 mL/min/kg,1.10 hours,22 %,None,Hypersensitivity,Category B3,Recommended,None,,
Nitrofurantoin,Antibacterial,NA,,DNA inhibitor,,,,,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,238.159,0.0735,6,1,3,118.05,0,21.5,,,,-0.2,,,,0.01764,0.1622,14.81,,,,,,,39.81071706,-75.70760384,0,0,Inactive,39.81071706,-12.15534096,0,0,Inactive,Inactive,39.81071706,-27.0930021,39.8107,97.9678,Inconclusive,39.81071706,-12.23198221,39.8107,41.9543,Inconclusive,Cytotoxic,0,-0.4997933271,,,,,,0,-18.3806785,,,,,,,0.5657409903,Oral,Nitrofurantoin reaches a Cmax of 0.875-0.963mg/L with an AUC of 2.21-2.42mg*h/L,90%,0.57 L/kg,9.70 mL/min/kg,0.97 hours,87 %,None,"Renal failure (anuria, oliguria, or CrCl <60 mL/min)
Pregnancy at term (38-42 weeks of gestation)
History of hepatic dysfunction/cholestatic jaundice with nitrofurantoin
Neonates (<28 days)
Hypersensitivity",Category A,Use with caution,None,,
Repaglinide,Antidiabetic,"ABC transporters, Insulin secretion","ABCC8, KCNJ11, PPARG",insulin secretagogue,,106,6.97,pIC50,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,452.595,5.2199,4,2,10,78.87,1,0.78,,,,0.08,,,,0.4307,0.06595,7.8,,,,,,,0,-21.37024321,0,0,Inactive,0,0.785861679,0,0,Inactive,Inactive,0,7.507815586,0,0,Inactive,0,4.746004284,0,0,Inactive,Inactive,0,19.26168264,,,,,,0,-43.60381092,,,,,,,0.5124231707,Oral; Intravenous,"Peak plasma concentrations are observed within 1 hour (range 0.5-1.4 hours). Maximal biological effect is observed within 3-3.5 hours and plasma insulin levels remain elevated for 4-6 hours. When a single 2 mg dose of repaglinide is given to healthy subjects, the area under the curve (AUC) is 18.0 - 18.7 (ng/mL/h)^3.",>98%,0.35 L/kg,7.80 mL/min/kg,0.87 hours,56 %,gemfibrozil,"Hypersensitivity
Diabetic ketoacidosis",Category C,Not recommended,None,,
Flunisolide,Anti-inflammatory,Neuroactive ligand-receptor interaction,NR3C1,cytochrome P450 inhibitor,,,9.1,pEC50,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.504,2.2747,6,2,2,93.06,9,-4.09,,,,-0.07,,,,0.0848,0.1937,12.51,,,,,,,0,-8.569648006,0,0,Inactive,0,-2.746354367,0,0,Inactive,Inactive,0,0.874872549,0,0,Inactive,0,-0.3590802621,0,0,Inactive,Inactive,0,-8.057623359,,,,,,0,-9.463560912,,,,,,,0.6005947259,,,Approximately 40% after oral inhalation,1.08 L/kg,9.50 mL/min/kg,1.68 hours,6.70 %,NA,NA,Category B3,Use with caution,None,,
Isosorbide dinitrate,Vasodilator (coronary),NA,"GUCY1A2, GUCY1A3, GUCY1B2, GUCY1B3, NPR1",nitric oxide stimulant,,,,,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.136,-1.0622,8,0,4,123.2,4,-9.77,,,,0.11,,,,0.07718,,33,,,,,,,0,-141.3792057,0,0,Inactive,0,-9.50521202,0,0,Inactive,Inactive,0,1.320993622,0,0,Inactive,0,4.192086162,0,0,Inactive,Inactive,0,-1.774414316,,,,,,0,-25.48447319,,,,,,,0.660614621,Oral,,very low,1.90 L/kg,31 mL/min/kg,1.70 hours,22 %,"avanafil
riociguat
sildenafil
tadalafil
vardenafil","Hypersensitivity; Severe anemia, shock, markedly low blood pressure",Category B1,Use with caution,None,,
Cimetidine,Anti-ulcerative,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion","HRH2, SLC29A4, SLC47A1, SLC47A2",histamine receptor antagonist,,500,6.3,pIC50,CN/C(=N/CCSCc1nc[nH]c1C)NC#N,252.347,0.5974,4,3,5,88.89,0,-12.58,,,,-0.07,,,,0.01447,0.04968,17.13,,,,,,,0,-52.87610281,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.07875058,0,0,Inactive,Inactive,0,-1.200371473,,,,,,0,-3.749997116,,,,,,,0.819181253,Oral,,15-20%,1.20 L/kg,8.10 mL/min/kg,2.20 hours,60 %,Dofetilide; eliglustat; lomitapide; pimozide,Hypersensitivity,Category B1,Not recommended,NA,,
Furazolidone,"Antibacterial, Antiprotozoal",NA,,bacterial DNA inhibitor,,,,,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,225.16,0.9739,6,0,3,98.18,0,41.74,,,,-0.01,,,,,0.1034,19.33,,,,,,,0,-37.64639583,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.270192183,0,0,Inactive,Inactive,0,-12.59640374,,,,,,0,-33.75129087,,,,,,,0.4398669923,Oral,,,,,10 minutes,,NA,NA,NA,NA,None,,
Belumosudil,Autoimmune disease treatment,Chemokine signaling pathway,ROCK2,Rho-associated kinase inhibitor,,,,,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,452.518,4.8201,6,3,7,104.82,0,-8.64,,,,1.65,,,,,,-34.99,,,,,,,0,-115.9486971,,,,12.58925412,-69.41061446,,,,,,,,,,,,,,,,0,-4.624684727,,,,,,0,-24.79763519,,,,,,,0.5187219347,Oral,,,,,,,NA,NA,,Not recommended,NA,,
Tepotinib (EMD 1214063),Antineoplastic,"Ras signaling pathway, PI3K-Akt signaling pathway, ",MET,tyrosine kinase inhibitor,,,,,NCc1cccc(c1)c1ccc(=O)n(Cc2cccc(c2)c2ncc(OCC3CCN(C)CC3)cn2)n1,492.583,4.00788,8,0,7,96.93,0,,,,,,,,,,,,,,,,,,39.81071706,-9.879535887,,,,0,-99.1826676,,,,,,,,,,,,,,,,12.58925412,76.02991964,10,72.8017,Inconclusive,,,0,-15.09034285,12.5893,89.2776,Inconclusive,Cytotoxic,,,0.4615384615,Oral,,,,,,,NA,NA,,Not recommended,NA,,
Telotristat,Antidiarrheal,"Tryptophan metabolism, Serotonergic synapse

",TPH,Tryptophan hydroxylase inhibitor,,,,,Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,546.937,4.51012,8,3,8,142.17,2,,,,,,,,,,-0.05214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6938088901,,,,,,0,1.602287202,,,,,,,0.9548645938,Oral,,,,,,,"doravirine
lonafarnib",NA,Category B3,Not recommended,NA,,
Fexinidazole,Antiparasitic,,,,,,,,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,279.321,2.6292,6,0,5,70.19,0,19.95,,,,0.02,,,,,0.1901,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3282026362,Oral,,,,,,,lonafarnib,"Hypersensitivity
Hepatic impairment",NA,NA,NA,,
Umbralisib,Antineoplastic,"Inositol phosphate metabolism, Chemokine signaling pathway, FoxO signaling pathway, Phosphatidylinositol signaling system, PI3K-Akt signaling pathway, Wnt signaling pathway, Hedgehog signaling pathway, B cell receptor signaling pathway
","PIK3CD, CSNK1E ",,,,,,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,571.559,6.6627,8,1,6,109.06,1,24.32,,,,-0.05,,,,,,19.1,,,,,,,0,2.26298998,,,,0,-0.8897298386,,,,,,,,,,,,,,,,0,10.98489712,,,,,,0,-8.664528874,,,,,,,0.418878454,Oral,,,,,,,NA,NA,NA,NA,NA,,
ZILEUTON,Antiasthmatic,Arachidonic acid metabolism,ALOX5 ,Arachidonate 5-lipoxygenase inhibitor,,,,,ON(C(=O)N)C(C)c1cc2ccccc2s1,236.296,2.7322,3,2,2,66.56,1,,,,,0.03,,,,-0.00439,0.2291,9.14,,,,,,,6.309573445,-18.63245659,6.3096,38.1681,Inconclusive,0,15.53924379,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-1.35771927,,,,,,0,-26.24428017,,,,,,,0.5023437666,Oral,,,* 1.2 L/kg,* Apparent oral cl=7 mL/min/kg,2.5 hours,,flibanserin,"Hypersensitivity
Liver disease",NA,Not recommended,NA,,
Dydrogesterone,Menstruation disorder agent,"Oocyte meiosis, Progesterone-mediated oocyte maturation, Estrogen signaling pathway


",NR3C3 (PGR),Progesterone receptor agonist,,,6.9,pKi,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C,312.453,4.4995,2,0,1,34.14,6,,,,,0.63,,,,0.5447,0.01426,17,,,,,,,0.7079457844,-50.03005857,0.7079,34.9741,Inconclusive,0,-3.848148201,0,0,Inactive,Inactive,39.81071706,-24.5126191,39.8107,84.0755,Inconclusive,0,3.135703538,0,0,Inactive,Inactive,0,-1.381872808,,,,,,0,-6.752608153,,,,,,,0.4270469993,Oral,,,,,"Dydrogesterone: 5-7 hours, 20-dihydrodydrogesterone (DHD) metabolite: 14-17 hours",28 %,NA,NA,Category B3,Not recommended,NA,,
